IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.218.224.219,2053,443,true,FRA,Europe,Frankfurt,249,3.09
8.222.249.190,2053,2053,true,SIN,Asia Pacific,Singapore,209,2.52
20.243.201.2,2053,443,true,NRT,Asia Pacific,Tokyo,71,2.14
20.65.184.211,2053,443,true,DFW,North America,Dallas,223,1.99
4.232.137.169,2053,443,true,MRS,Europe,Marseille,206,1.89
8.222.212.116,2053,2053,true,SIN,Asia Pacific,Singapore,201,1.77
8.222.133.247,2053,2053,true,SIN,Asia Pacific,Singapore,219,1.71
47.236.83.239,2053,2053,true,SIN,Asia Pacific,Singapore,197,1.60
40.112.148.202,2053,443,true,SJC,North America,San Jose,194,1.58
8.219.222.98,2053,2053,true,SIN,Asia Pacific,Singapore,216,1.58
8.219.249.38,2053,2053,true,SIN,Asia Pacific,Singapore,214,1.54
8.222.215.228,2053,2053,true,SIN,Asia Pacific,Singapore,216,1.52
8.219.228.186,2053,2053,true,SIN,Asia Pacific,Singapore,216,1.41
47.236.94.109,2053,2053,true,SIN,Asia Pacific,Singapore,221,1.40
8.219.210.64,2053,2053,true,SIN,Asia Pacific,Singapore,246,1.39
47.236.104.11,2053,2053,true,SIN,Asia Pacific,Singapore,221,1.39
8.219.245.232,2053,2053,true,SIN,Asia Pacific,Singapore,206,1.38
8.219.228.186,2053,2053,true,SIN,Asia Pacific,Singapore,220,1.32
8.219.178.225,2053,2053,true,SIN,Asia Pacific,Singapore,221,1.30
8.219.100.168,2053,2053,true,SIN,Asia Pacific,Singapore,202,1.24
47.236.173.200,2053,2053,true,SIN,Asia Pacific,Singapore,220,1.22
8.219.222.8,2053,2053,true,SIN,Asia Pacific,Singapore,219,1.21
8.219.213.84,2053,2053,true,SIN,Asia Pacific,Singapore,199,1.18
47.236.116.182,2053,2053,true,SIN,Asia Pacific,Singapore,219,1.18
8.219.77.222,2053,2053,true,SIN,Asia Pacific,Singapore,217,1.15
47.236.121.7,2053,2053,true,SIN,Asia Pacific,Singapore,219,1.15
8.222.219.252,2053,2053,true,SIN,Asia Pacific,Singapore,222,1.10
47.245.90.176,2053,2053,true,SIN,Asia Pacific,Singapore,200,1.09
47.236.169.141,2053,2053,true,SIN,Asia Pacific,Singapore,219,1.08
47.236.87.206,2053,2053,true,SIN,Asia Pacific,Singapore,216,1.06
8.219.101.72,2053,2053,true,SIN,Asia Pacific,Singapore,214,1.02
47.236.123.133,2053,2053,true,SIN,Asia Pacific,Singapore,207,1.01
8.222.164.44,2053,2053,true,SIN,Asia Pacific,Singapore,216,0.95
47.236.165.25,2053,2053,true,SIN,Asia Pacific,Singapore,209,0.95
8.219.142.229,2053,2053,true,SIN,Asia Pacific,Singapore,219,0.95
47.236.7.206,2053,2053,true,SIN,Asia Pacific,Singapore,204,0.92
8.219.6.157,2053,2053,true,SIN,Asia Pacific,Singapore,216,0.91
8.219.51.211,2053,2053,true,SIN,Asia Pacific,Singapore,222,0.91
8.222.155.242,2053,2053,true,SIN,Asia Pacific,Singapore,209,0.90
8.219.213.133,2053,2053,true,SIN,Asia Pacific,Singapore,202,0.87
47.236.169.236,2053,2053,true,SIN,Asia Pacific,Singapore,221,0.87
8.222.129.245,2053,2053,true,SIN,Asia Pacific,Singapore,221,0.87
8.222.175.78,2053,2053,true,SIN,Asia Pacific,Singapore,222,0.83
8.219.184.92,2053,2053,true,SIN,Asia Pacific,Singapore,226,0.83
47.236.149.107,2053,2053,true,SIN,Asia Pacific,Singapore,201,0.82
47.236.97.90,2053,2053,true,SIN,Asia Pacific,Singapore,222,0.82
8.219.139.13,2053,2053,true,SIN,Asia Pacific,Singapore,215,0.81
8.219.122.96,2053,2053,true,SIN,Asia Pacific,Singapore,206,0.81
8.222.159.252,2053,2053,true,SIN,Asia Pacific,Singapore,208,0.80
47.236.103.153,2053,2053,true,SIN,Asia Pacific,Singapore,222,0.79
8.222.154.50,2053,2053,true,SIN,Asia Pacific,Singapore,213,0.78
47.236.5.223,2053,2053,true,SIN,Asia Pacific,Singapore,208,0.75
47.236.164.215,2053,2053,true,SIN,Asia Pacific,Singapore,204,0.72
8.222.187.107,2053,2053,true,SIN,Asia Pacific,Singapore,202,0.71
8.222.252.150,2053,2053,true,SIN,Asia Pacific,Singapore,203,0.71
8.222.248.188,2053,2053,true,SIN,Asia Pacific,Singapore,236,0.70
8.222.160.61,2053,2053,true,SIN,Asia Pacific,Singapore,218,0.68
8.219.199.220,2053,2053,true,SIN,Asia Pacific,Singapore,206,0.67
8.219.210.64,2053,2053,true,SIN,Asia Pacific,Singapore,219,0.66
8.219.60.130,2053,2053,true,SIN,Asia Pacific,Singapore,203,0.66
47.236.82.218,2053,2053,true,SIN,Asia Pacific,Singapore,202,0.65
47.236.147.146,2053,2053,true,SIN,Asia Pacific,Singapore,217,0.64
47.236.167.231,2053,2053,true,SIN,Asia Pacific,Singapore,203,0.63
47.236.163.221,2053,2053,true,SIN,Asia Pacific,Singapore,212,0.62
8.219.248.170,2053,2053,true,SIN,Asia Pacific,Singapore,209,0.61
8.219.13.143,2053,2053,true,SIN,Asia Pacific,Singapore,213,0.60
47.236.168.17,2053,2053,true,SIN,Asia Pacific,Singapore,217,0.56
8.222.174.108,2053,2053,true,SIN,Asia Pacific,Singapore,216,0.54
8.222.146.222,2053,2053,true,SIN,Asia Pacific,Singapore,235,0.53
47.236.180.51,2053,2053,true,SIN,Asia Pacific,Singapore,207,0.52
141.147.169.195,2053,2053,true,NRT,Asia Pacific,Tokyo,135,0.50
8.222.229.22,2053,2053,true,SIN,Asia Pacific,Singapore,237,0.48
8.219.153.44,2053,2053,true,SIN,Asia Pacific,Singapore,197,0.48
8.219.179.34,2053,2053,true,SIN,Asia Pacific,Singapore,202,0.48
47.236.169.164,2053,2053,true,SIN,Asia Pacific,Singapore,201,0.47
3.126.221.11,2053,443,true,FRA,Europe,Frankfurt,218,0.44
8.222.244.192,2053,2053,true,SIN,Asia Pacific,Singapore,204,0.40
8.222.227.191,2053,2053,true,SIN,Asia Pacific,Singapore,219,0.39
47.236.114.23,2053,2053,true,SIN,Asia Pacific,Singapore,204,0.37
8.222.150.197,2053,2053,true,SIN,Asia Pacific,Singapore,206,0.36
47.236.172.71,2053,2053,true,SIN,Asia Pacific,Singapore,208,0.35
8.222.224.162,2053,2053,true,SIN,Asia Pacific,Singapore,225,0.35
47.236.65.177,2053,2053,true,SIN,Asia Pacific,Singapore,213,0.33
47.236.87.246,2053,2053,true,SIN,Asia Pacific,Singapore,218,0.31
104.46.208.74,2053,443,true,NRT,Asia Pacific,Tokyo,105,0.31
8.219.253.114,2053,2053,true,SIN,Asia Pacific,Singapore,211,0.28
8.222.169.182,2053,2053,true,SIN,Asia Pacific,Singapore,219,0.25
47.236.7.246,2053,2053,true,SIN,Asia Pacific,Singapore,219,0.23
20.77.10.18,2053,443,true,LHR,Europe,London,218,0.22
47.236.174.206,2053,2053,true,SIN,Asia Pacific,Singapore,214,0.22
47.236.170.54,2053,2053,true,SIN,Asia Pacific,Singapore,224,0.22
52.143.146.139,2053,443,true,CDG,Europe,Paris,212,0.20
18.194.183.74,2053,443,true,FRA,Europe,Frankfurt,224,0.19
47.236.172.41,2053,2053,true,SIN,Asia Pacific,Singapore,198,0.18
8.222.144.50,2053,2053,true,SIN,Asia Pacific,Singapore,213,0.18
8.219.173.233,2053,2053,true,SIN,Asia Pacific,Singapore,217,0.17
47.236.166.184,2053,2053,true,SIN,Asia Pacific,Singapore,223,0.15
47.245.102.156,2053,2053,true,SIN,Asia Pacific,Singapore,224,0.15
47.236.93.176,2053,2053,true,SIN,Asia Pacific,Singapore,214,0.14
138.2.14.248,2053,2053,true,HKG,Asia Pacific,Hong Kong,196,0.13
47.245.107.174,2053,2053,true,SIN,Asia Pacific,Singapore,208,0.12
18.100.124.0,2053,443,true,MAD,Europe,Madrid,255,0.10
47.236.184.14,2053,2053,true,SIN,Asia Pacific,Singapore,229,0.10
23.94.95.60,2053,443,true,ATL,North America,Atlanta,250,0.10
129.146.247.85,2053,443,true,LAX,North America,Los Angeles,207,0.10
150.230.222.185,2053,2053,true,NRT,Asia Pacific,Tokyo,131,0.08
47.236.15.73,2053,2053,true,SIN,Asia Pacific,Singapore,225,0.08
23.94.211.237,2053,443,true,SEA,North America,Seattle,227,0.08
8.222.162.45,2053,2053,true,SIN,Asia Pacific,Singapore,206,0.07
158.101.94.15,2053,2053,true,NRT,Asia Pacific,Tokyo,132,0.06
140.238.44.118,2053,2053,true,SIN,Asia Pacific,Singapore,206,0.06
47.74.27.151,2053,0,true,SIN,Asia Pacific,Singapore,208,0.03
47.245.54.98,2053,2053,true,NRT,Asia Pacific,Tokyo,134,0.03
23.94.208.167,2053,443,true,SJC,North America,San Jose,207,0.01
8.219.253.18,2053,2053,true,SIN,Asia Pacific,Singapore,201,0.00
138.3.223.70,2053,2053,true,NRT,Asia Pacific,Tokyo,136,0.00
8.222.130.137,2053,2053,true,SIN,Asia Pacific,Singapore,213,0.00
131.186.34.244,2053,2053,true,SIN,Asia Pacific,Singapore,205,0.00
152.70.98.174,2053,2053,true,SIN,Asia Pacific,Singapore,209,0.00
20.174.68.148,2053,443,true,BOM,Asia Pacific,Mumbai,147,0.00
47.236.145.85,2053,2053,true,SIN,Asia Pacific,Singapore,210,0.00
8.219.124.227,2053,2053,true,SIN,Asia Pacific,Singapore,215,0.00
8.222.211.124,2053,2053,true,SIN,Asia Pacific,Singapore,214,0.00
